Basic_A0;1;684724;19399324;2394.447;1;0.65;19G;2.39
Basic_A1;1;1716916;38989100;2394.399;1;1.64;38G;2.39
Basic_A2;2;3523280;58578808;2394.467;2;3.36;56G;2.39
Basic_A3;4;7135936;117352076;2394.418;4;6.81;112G;2.39
Basic_A4;8;14361248;234915080;2394.441;8;13.70;225G;2.39
Standard_A0;1;684724;19399324;2394.451;1;0.65;19G;2.39
Standard_A1;1;1716916;68375748;2394.429;1;1.64;66G;2.39
Standard_A2;2;3523280;132047444;2394.439;2;3.36;135G;2.39
Standard_A3;4;7135936;278996940;2394.409;4;6.81;267G;2.39
Standard_A5;2;14361248;132047444;2394.450;2;13.70;126G;2.39
Standard_A4;8;14361248;592489316;2394.369;8;13.70;566G;2.39
Standard_A6;4;28811876;278996940;2394.458;4;27.48;267G;2.39
Standard_A7;8;57713124;592489316;2394.431;8;55.04;566G;2.39
Standard_D1;1;3523252;48781868;2194.720;1;3.36;47G;2.19
Standard_D2;2;7135936;97758212;2194.693;2;6.81;94G;2.19
Standard_D3;4;14361248;195727412;2194.720;4;13.70;187G;2.19
Standard_D4;8;28811876;391652852;2194.692;8;27.48;374G;2.19
Standard_D11;2;14361248;97758212;2194.693;2;13.70;94G;2.19
Standard_D12;4;28811876;195727412;2194.693;4;27.48;187G;2.19
Standard_D13;8;57713124;391652852;2194.678;8;55.04;374G;2.19
Standard_D14;16;115513312;783528932;2194.488;16;110.16;748G;2.19
Standard_D1_v2;1;3523252;48781868;2394.420;1;3.36;47G;2.39
Standard_D2_v2;2;7135936;97758212;2394.418;2;6.81;94G;2.39
Standard_D3_v2;4;14361248;195727412;2394.454;4;13.70;187G;2.39
Standard_D4_v2;8;28811876;391652852;2394.464;8;27.48;374G;2.39
Standard_D5_v2;16;57710824;783528932;2394.464;16;55.04;748G;2.39
Standard_D11_v2;2;14361248;97758212;2394.458;2;13.70;94G;2.39
Standard_D12_v2;4;28811876;195727412;2394.438;4;27.48;187G;2.39
Standard_D13_v2;8;57713124;391652852;2394.376;8;55.04;374G;2.39
Standard_D14_v2;16;115513312;783528932;2394.454;16;110.16;748G;2.39
Standard_D15_v2;20;144414556;979462372;2394.410;20;137.73;935G;2.39
Standard DS1;1;3523252;6677088;2199.973;1;3.36;6.4G;2.19
Standard_DS2;2;7135936;13526192;2199.975;2;6.81;13G;2.19
Standard_DS3;4;14361248;27237784;2199.997;4;13.70;26G;2.19
Standard_DS4;8;28811876;54660976;2199.797;8;27.48;53G;2.19
Standard_DS11;2;14361248;27237784;2199.984;2;13.70;26G;2.19
Standard_DS12;4;28811876;54660976;2199.944;4;27.48;53G;2.19
Standard_DS13;8;57713124;109515456;2199.999;8;55.04;105G;2.19
Standard_DS14;16;115513312;219240924;2199.992;16;110.16;210G;2.19
Standard_DS1_v2;1;3523252;6677088;2394.414;1;3.36;6.4G;2.39
Standard_DS2_v2;2;7135936;13526192;2394.457;2;6.81;13G;2.39
Standard_DS3_v2;4;14361248;27237784;2394.282;4;13.70;26G;2.39
Standard_DS4_v2;8;28811876;54660976;2394.411;8;27.48;53G;2.39
Standard_DS5_v2;16;57710824;109515456;2394.329;16;55.04;105G;2.39
Standard_DS11_v2;2;14361248;27237784;2394.425;2;13.70;26G;2.39
Standard_DS12_v2;4;28811876;54660976;2394.445;4;27.48;53G;2.39
Standard_DS13_v2;8;57713124;109515456;2394.413;8;55.04;105G;2.39
Standard_DS14_v2;16;115513312;219240924;2394.442;16;110.16;210G;2.39
Standard_DS15_v2;20;144414556;274099420;2394.430;20;137.73;262G;2.39
Standard_F1;1;1974964;15480572;2394.544;1;1.88;15G;2.39
Standard_F2;2;4039372;31151556;2394.452;2;3.85;30G;2.39
Standard_F4;4;8168124;62497604;2394.424;4;7.79;60G;2.39
Standard_F8;8;16425624;125189608;2394.400;8;15.67;120G;2.39
Standard_F16;16;32938320;250590148;2394.416;16;31.41;239G;2.39
Standard_F1s;1;1974964;3819400;2394.399;1;1.88;3.7G;2.39
Standard_F2s;2;4039372;;2394.413;2;3.85;;2.39
Standard_F4s;4;8168124;15481484;2394.427;4;7.79;15G;2.39
Standard_F8s;8;16425624;31152468;2394.444;8;15.67;30G;2.39
Standard_F16s;16;32938320;62498516;2394.463;16;31.41;60G;2.39
Standard_G1;2;28811876;375982100;1995.334;2;27.48;359G;1.99
Standard_G2;4;57713124;752178844;1995.370;4;55.04;718G;1.99
Standard_G3;8;115515620;1504576052;1995.370;8;110.17;1.5T;1.99
Standard_G4;16;231120612;3009362524;1994.645;16;220.41;2.9T;1.99
Standard_G5;32;462328288;6069296320;1995.310;32;440.91;5.7T;1.99
Standard_GS1;2;28811876;54660976;1995.333;2;27.48;53G;1.99
Standard_GS2;4;57713124;109515456;1995.352;4;55.04;105G;1.99
Standard_GS3;8;115515620;219240924;1995.376;8;110.17;210G;1.99
Standard_GS4;16;231120612;438678892;1995.324;16;220.41;419G;1.99
Standard_GS5;32;462328288;877575556;1995.195;32;440.91;837G;1.99
Standard_H8;8;57713124;1002974924;3192.537;8;55.04;957G;3.19
Standard_H8m;8;115515620;1002974924;3192.593;8;110.17;957G;3.19
Standard_H16;16;115513312;2006172052;3192.302;16;110.16;1.9T;3.19
Standard_H16r;16;115513312;2006172052;3192.629;16;110.16;1.9T;3.19
Standard_H16m;16;231118304;2006172052;3192.570;16;220.41;1.9T;3.19
Standard_H16mr;16;231118304;2006172052;3192.585;16;220.41;1.9T;3.19