Size;CPU cores;Memory;NICs (Max);Max. Temp disk size in GB;Max. data disks;Max. IOPS;Max. Throughput;Cache size (GB);CPU speed;Number of cores;Memory Size;Temp Disk Size;full text;StorageTier;
Basic_A0;1;0.768;1;20;1;300;0;0;2.397;1;1;1.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:1 Temp Disk Size:19.9980430603027;Basic;
Basic_A1;1;1.75;1;40;2;600;0;0;2.397;1;2;3.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:2 Temp Disk Size:39.9980430603027;Basic;
Basic_A2;2;3.5;1;60;4;1200;0;0;2.397;2;3;5.999.804.306;CPU speed:2.397 Number of cores:2 Memory Size:3 Temp Disk Size:59.9980430603027;Basic;
Basic_A3;4;7;2;120;8;2400;0;0;2.397;4;7;1.199.980.431;CPU speed:2.397 Number of cores:4 Memory Size:7 Temp Disk Size:119.998043060303;Basic;
Basic_A4;8;14;4;240;16;4800;0;0;2.397;8;14;2.399.980.431;CPU speed:2.397 Number of cores:8 Memory Size:14 Temp Disk Size:239.998043060303;Basic;
Standard_A0;1;0.768;1;20;1;500;0;0;2.397;1;1;1.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:1 Temp Disk Size:19.9980430603027;Standard;
Standard_A1;1;0.70;1;70;2;1000;0;0;2.397;1;2;6.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:2 Temp Disk Size:69.9980430603027;Standard;
Standard_A2;2;3.5;1;135;4;2000;0;0;2.397;2;3;1.349.980.431;CPU speed:2.397 Number of cores:2 Memory Size:3 Temp Disk Size:134.998043060303;Standard;
Standard_A3;4;7;2;285;8;4000;0;0;2.397;4;7;2.849.980.431;CPU speed:2.397 Number of cores:4 Memory Size:7 Temp Disk Size:284.998043060303;Standard;
Standard_A4;8;14;4;605;16;8000;0;0;2.397;8;14;6.049.980.431;CPU speed:2.397 Number of cores:8 Memory Size:14 Temp Disk Size:604.998043060303;Standard;
Standard_A5;2;14;1;135;4;2000;0;0;2.397;2;14;1.349.980.431;CPU speed:2.397 Number of cores:2 Memory Size:14 Temp Disk Size:134.998043060303;Standard;
Standard_A6;4;28;2;285;8;4000;0;0;2.397;4;28;2.849.980.431;CPU speed:2.397 Number of cores:4 Memory Size:28 Temp Disk Size:284.998043060303;Standard;
Standard_A7;8;56;4;605;16;8000;0;0;2.397;8;56;6.049.980.431;CPU speed:2.397 Number of cores:8 Memory Size:56 Temp Disk Size:604.998043060303;Standard;
Standard_A8;8;56;2;382;16;8000;0;0;2.594;8;56;3.826.425.743;CPU speed:2.594 Number of cores:8 Memory Size:56 Temp Disk Size:382.642574310303;Standard;
Standard_A9;16;112;4;382;16;8000;0;0;2.594;16;112;3.826.425.743;CPU speed:2.594 Number of cores:16 Memory Size:112 Temp Disk Size:382.642574310303;Standard;
Standard_A10;8;56;2;382;16;8000;0;0;2.594;8;56;3.826.425.743;CPU speed:2.594 Number of cores:8 Memory Size:56 Temp Disk Size:382.642574310303;Standard;
Standard_A11;16;112;4;382;16;8000;0;0;2.594;16;112;3.826.425.743;CPU speed:2.594 Number of cores:16 Memory Size:112 Temp Disk Size:382.642574310303;Standard;
Standard_D1;1;3.5;1;50;2;1000;0;0;2.195;1;3;4.999.804.306;CPU speed:2.195 Number of cores:1 Memory Size:3 Temp Disk Size:49.9980430603027;Standard;
Standard_D2;2;7;2;100;4;2000;0;0;2.195;2;7;9.999.804.306;CPU speed:2.195 Number of cores:2 Memory Size:7 Temp Disk Size:99.9980430603027;Standard;
Standard_D3;4;14;4;200;8;4000;0;0;2.195;4;14;1.999.980.431;CPU speed:2.195 Number of cores:4 Memory Size:14 Temp Disk Size:199.998043060303;Standard;
Standard_D4;8;28;8;400;16;8000;0;0;2.195;8;28;3.999.980.431;CPU speed:2.195 Number of cores:8 Memory Size:28 Temp Disk Size:399.998043060303;Standard;
Standard_D11;2;14;2;100;4;2000;0;0;2.195;2;14;9.999.804.306;CPU speed:2.195 Number of cores:2 Memory Size:14 Temp Disk Size:99.9980430603027;Standard;
Standard_D12;4;28;4;200;8;4000;0;0;2.195;4;28;1.999.980.431;CPU speed:2.195 Number of cores:4 Memory Size:28 Temp Disk Size:199.998043060303;Standard;
Standard_D13;8;56;8;400;16;8000;0;0;2.195;8;56;3.999.980.431;CPU speed:2.195 Number of cores:8 Memory Size:56 Temp Disk Size:399.998043060303;Standard;
Standard_D14;16;112;8;800;32;16000;0;0;2.195;16;112;7.999.980.431;CPU speed:2.195 Number of cores:16 Memory Size:112 Temp Disk Size:799.998043060303;Standard;
Standard_D1_v2;1;3.5;1;50;2;1000;0;0;2.397;1;3;4.999.804.306;CPU speed:2.397 Number of cores:1 Memory Size:3 Temp Disk Size:49.9980430603027;Standard;
Standard_D2_v2;2;7;2;100;4;2000;0;0;2.397;2;7;9.999.804.306;CPU speed:2.397 Number of cores:2 Memory Size:7 Temp Disk Size:99.9980430603027;Standard;
Standard_D3_v2;4;14;4;200;8;4000;0;0;2.397;4;14;1.999.980.431;CPU speed:2.397 Number of cores:4 Memory Size:14 Temp Disk Size:199.998043060303;Standard;
Standard_D4_v2;8;28;8;400;16;8000;0;0;2.397;8;28;3.999.980.431;CPU speed:2.397 Number of cores:8 Memory Size:28 Temp Disk Size:399.998043060303;Standard;
Standard_D5_v2;16;56;8;800;32;16000;0;0;2.397;16;56;7.999.980.431;CPU speed:2.397 Number of cores:16 Memory Size:56 Temp Disk Size:799.998043060303;Standard;
Standard_D11_v2;2;14;2;100;4;2000;0;0;2.397;2;14;9.999.804.306;CPU speed:2.397 Number of cores:2 Memory Size:14 Temp Disk Size:99.9980430603027;Standard;
Standard_D12_v2;4;28;4;200;8;4000;0;0;2.397;4;28;1.999.980.431;CPU speed:2.397 Number of cores:4 Memory Size:28 Temp Disk Size:199.998043060303;Standard;
Standard_D13_v2;8;56;8;400;16;8000;0;0;2.397;8;56;3.999.980.431;CPU speed:2.397 Number of cores:8 Memory Size:56 Temp Disk Size:399.998043060303;Standard;
Standard_D14_v2;16;112;8;800;32;16000;0;0;2.397;16;112;7.999.980.431;CPU speed:2.397 Number of cores:16 Memory Size:112 Temp Disk Size:799.998043060303;Standard;
Standard_D15_v2;20;140;10;1000;40;20000;0;0;2.397;20;140;9.999.980.431;CPU speed:2.397 Number of cores:20 Memory Size:140 Temp Disk Size:999.998043060303;Standard;
Standard_G1;2;28;1;384;4;2000;0;0;1.995;2;28;3.839.980.431;CPU speed:1.995 Number of cores:2 Memory Size:28 Temp Disk Size:383.998043060303;Standard;
Standard_G2;4;56;2;768;8;4000;0;0;1.995;4;56;7.679.980.431;CPU speed:1.995 Number of cores:4 Memory Size:56 Temp Disk Size:767.998043060303;Standard;
Standard_G3;8;112;4;1536;16;8000;0;0;1.995;8;112;1.535.998.043;CPU speed:1.995 Number of cores:8 Memory Size:112 Temp Disk Size:1535.998043060303;Standard;
Standard_G4;16;224;8;3072;32;16000;0;0;1.995;16;224;3.071.998.043;CPU speed:1.995 Number of cores:16 Memory Size:224 Temp Disk Size:3071.998043060303;Standard;
Standard_G5;32;448;8;6144;64;32000;0;0;1.995;32;448;6.143.998.043;CPU speed:1.995 Number of cores:32 Memory Size:448 Temp Disk Size:6143.998043060303;Standard;
Standard_DS1;1;3.5;1;7;2;3200;32;43;2.195;1;3;699.804.306;CPU speed:2.195 Number of cores:1 Memory Size:3 Temp Disk Size:6.9980430603027;Premium
Standard_DS2;2;7;2;14;4;6400;64;86;2.195;2;7;1.399.804.306;CPU speed:2.195 Number of cores:2 Memory Size:7 Temp Disk Size:13.9980430603027;Premium
Standard_DS3;4;14;4;28;8;12800;128;172;2.195;4;14;2.799.804.306;CPU speed:2.195 Number of cores:4 Memory Size:14 Temp Disk Size:27.998043060303;Premium;
Standard_DS4;8;28;8;56;16;25600;256;344;2.195;8;28;5.599.804.306;CPU speed:2.195 Number of cores:8 Memory Size:28 Temp Disk Size:55.998043060303;Premium;
Standard_DS11;2;14;2;28;4;6400;64;72;2.195;2;14;2.799.804.306;CPU speed:2.195 Number of cores:2 Memory Size:14 Temp Disk Size:27.9980430603027;Premium;
Standard_DS12;4;28;4;56;8;12800;128;144;2.195;4;28;5.599.804.306;CPU speed:2.195 Number of cores:4 Memory Size:28 Temp Disk Size:55.998043060303;Premium;
Standard_DS13;8;56;8;112;16;25600;256;288;2.195;8;56;1.119.980.431;CPU speed:2.195 Number of cores:8 Memory Size:56 Temp Disk Size:111.998043060303;Premium;
Standard_DS14;16;112;8;224;32;50000;512;576;2.195;16;112;2.239.980.431;CPU speed:2.195 Number of cores:16 Memory Size:112 Temp Disk Size:223.998043060303;Premium;
Standard_DS1_v2;1;3.5;1;7;2;3200;48;43;2.397;1;3;699.804.306;CPU speed:2.397 Number of cores:1 Memory Size:3 Temp Disk Size:6.9980430603027;Premium;
Standard_DS2_v2;2;7;2;14;4;6400;96;86;2.397;2;7;1.399.804.306;CPU speed:2.397 Number of cores:2 Memory Size:7 Temp Disk Size:13.9980430603027;Premium;
Standard_DS3_v2;4;14;4;28;8;12800;192;172;2.397;4;14;2.799.804.306;CPU speed:2.397 Number of cores:4 Memory Size:14 Temp Disk Size:27.998043060303;Premium;
Standard_DS4_v2;8;28;8;56;16;25600;384;344;2.397;8;28;5.599.804.306;CPU speed:2.397 Number of cores:8 Memory Size:28 Temp Disk Size:55.998043060303;Premium;
Standard_DS5_v2;16;56;8;112;32;50000;768;688;2.397;16;56;1.119.980.431;CPU speed:2.397 Number of cores:16 Memory Size:56 Temp Disk Size:111.998043060303;Premium;
Standard_DS11_v2;2;14;2;28;4;6400;96;72;2.397;2;14;2.799.804.306;CPU speed:2.397 Number of cores:2 Memory Size:14 Temp Disk Size:27.9980430603027;Premium;
Standard_DS12_v2;4;28;4;56;8;12800;192;144;2.397;4;28;5.599.804.306;CPU speed:2.397 Number of cores:4 Memory Size:28 Temp Disk Size:55.998043060303;Premium;
Standard_DS13_v2;8;56;8;112;16;25600;384;288;2.397;8;56;1.119.980.431;CPU speed:2.397 Number of cores:8 Memory Size:56 Temp Disk Size:111.998043060303;Premium;
Standard_DS14_v2;16;112;8;224;32;50000;768;576;2.397;16;112;2.239.980.431;CPU speed:2.397 Number of cores:16 Memory Size:112 Temp Disk Size:223.998043060303;Premium;
Standard_GS1;2;28;1;56;4;5000;125;264;1.995;2;28;5.599.804.306;CPU speed:1.995 Number of cores:2 Memory Size:28 Temp Disk Size:55.998043060303;Premium;
Standard_GS2;4;56;2;112;8;10000;250;528;1.995;4;56;1.119.980.431;CPU speed:1.995 Number of cores:4 Memory Size:56 Temp Disk Size:111.998043060303;Premium;
Standard_GS3;8;112;4;224;16;20000;500;1056;1.995;8;112;2.239.980.431;CPU speed:1.995 Number of cores:8 Memory Size:112 Temp Disk Size:223.998043060303;Premium;
Standard_GS4;16;224;8;448;32;40000;1000;2112;1.995;16;224;4.479.980.431;CPU speed:1.995 Number of cores:16 Memory Size:224 Temp Disk Size:447.998043060303;Premium;
Standard_GS5;32;448;8;896;64;80000;2000;4224;1.995;32;448;8.959.980.431;CPU speed:1.995 Number of cores:32 Memory Size:448 Temp Disk Size:895.998043060303;Premium;
Standard_F1;1;2;1;16;2;1000;0;0;2.397;1;2;15,9980430603027;CPU speed:2.397 Number of cores:1 Memory Size:2 Temp Disk Size:15.9980430603027;Standard;
Standard_F2;2;4;2;32;4;2000;0;0;2.397;2;4;31,9980430603027;CPU speed:2.397 Number of cores:2 Memory Size:4 Temp Disk Size:31.9980430603027;Standard;
Standard_F4;4;8;4;64;8;4000;0;0;2.397;4;8;63,9980430603027;CPU speed:2.397 Number of cores:4 Memory Size:8 Temp Disk Size:63.9980430603027;Standard;
Standard_F8;8;16;8;128;16;8000;0;0;2.397;8;16;127,9980430603030;CPU speed:2.397 Number of cores:8 Memory Size:16 Temp Disk Size:127.998043060303;Standard;
Standard_F16;16;32;8;256;32;16000;0;0;2.397;16;32;255,9980430603030;CPU speed:2.397 Number of cores:16 Memory Size:32 Temp Disk Size:255.998043060303;Standard;
Standard_F1s;1;2;1;4;2;3200;48;0;2.397;1;2;3,9989585876465;CPU speed:2.397 Number of cores:1 Memory Size:2 Temp Disk Size:3.99895858764648;Premium;
Standard_F2s;2;4;2;8;4;6400;96;0;2.397;2;4;7,9989585876465;CPU speed:2.397 Number of cores:2 Memory Size:4 Temp Disk Size:7.99895858764648;Premium;
Standard_F4s;4;8;4;16;8;12800;192;0;2.397;4;8;15,9989585876465;CPU speed:2.397 Number of cores:4 Memory Size:8 Temp Disk Size:15.9989585876465;Premium;
Standard_F8s;8;16;8;32;16;25600;384;0;2.397;8;16;31,9989585876465;CPU speed:2.397 Number of cores:8 Memory Size:16 Temp Disk Size:31.9989585876465;Premium;
Standard_F16s;16;32;8;64;32;50000;768;0;2.397;16;32;63,9989585876465;CPU speed:2.397 Number of cores:16 Memory Size:32 Temp Disk Size:63.9989585876465;Premium;
